ID,Bloc,IDc_Lvl,Rep_Geo,R,W,Trial_in_Bloc,Time_Abs,Time_Rel,X,Y,P_Raw,Thickness,Err_Radiale,InT,Angle
P01,VP_FB,1,9,350,5,5,22835.434771,4.150068999999348,1306.882897338185,558.9128762627557,3192.0,6,2.601897883330139,0,0.05446843608377739
P01,VP_FB,1,9,350,5,5,22835.4454467,4.160744699998759,1306.0026933325692,564.3956720168196,3144.0,6,3.1383379406941003,0,0.07039068447846643
P01,VP_FB,1,9,350,5,5,22835.4571401,4.172438099998544,1305.2875275780063,568.4385416132507,3128.0,6,3.543325435890779,0,0.08217643462439969
P01,VP_FB,1,9,350,5,5,22835.4687011,4.183999099997891,1304.4623363227415,573.6444284908466,3272.0,6,3.8984994060309077,0,0.09736347138029594
P01,VP_FB,1,9,350,5,5,22835.4691452,4.184443199999805,1303.7471705681787,577.5211527613968,3384.0,6,4.211113281278756,0,0.10872291490558111
P01,VP_FB,1,9,350,5,5,22835.4804554,4.195753399999376,1303.7471705681787,577.5211527613968,3384.0,6,4.211113281278756,0,0.10872291490558111
P01,VP_FB,1,9,350,5,5,22835.4914716,4.206769599997642,1302.5919028108076,582.6162760884057,3432.0,6,4.767674081390396,0,0.12375798266845905
P01,VP_FB,1,9,350,5,5,22835.5028237,4.218121699999756,1301.656686054841,586.3268550330752,3400.0,6,5.216780247019983,0,0.13477279256282587
P01,VP_FB,1,9,350,5,5,22835.5134196,4.228717599999072,1300.666456548523,589.9266704271577,3344.0,6,5.694456859508705,0,0.1455199196826102
P01,VP_FB,1,9,350,5,5,22835.5253055,4.240603499998542,1299.181112289046,594.6895031024051,3328.0,6,6.438115205975691,0,0.1598639053032961
P01,VP_FB,1,9,350,5,5,22835.5357385,4.251036499998008,1297.9708317813245,598.2339367211938,3296.0,6,7.048874442715487,0,0.1706291908987893
P01,VP_FB,1,9,350,5,5,22835.5462887,4.261586699998588,1296.5955130225495,601.722988564689,3296.0,6,7.792070950613379,0,0.18135947179985717
P01,VP_FB,1,9,350,5,5,22835.5575733,4.272871299999679,1294.7250795106156,606.5412030152299,3280.0,6,8.725022083215151,0,0.19623528960462566
P01,VP_FB,1,9,350,5,5,22835.5677393,4.283037299999705,1293.2397352511389,610.2517819598995,3296.0,6,9.435712355522526,0,0.20777220360717719
P01,VP_FB,1,9,350,5,5,22835.5785861,4.293884099999559,1291.6443654909601,614.2392697810369,3288.0,6,10.147893430799627,0,0.22022153501671715
P01,VP_FB,1,9,350,5,5,22835.5890343,4.30433229999835,1290.1040084811325,618.2821393774677,3256.0,6,10.740881094074552,0,0.2328426513053965
P01,VP_FB,1,9,350,5,5,22835.6011189,4.316416899997421,1288.1235494684965,623.7649351315317,3224.0,6,11.353239978005092,0,0.2499463183689298
P01,VP_FB,1,9,350,5,5,22835.6116407,4.326938700000028,1286.8582562104236,628.1400953797241,3216.0,6,11.46640334160952,0,0.26339347753346587
P01,VP_FB,1,9,350,5,5,22835.6122082,4.327506199999334,1285.592962952351,632.7367827290908,3264.0,6,11.457700729977375,0,0.2774766344418857
P01,VP_FB,1,9,350,5,5,22835.6228544,4.338152399999672,1285.592962952351,632.7367827290908,3264.0,6,11.457700729977375,0,0.2774766344418857
P01,VP_FB,1,9,350,5,5,22835.6348114,4.350109399998473,1284.162631443225,638.9949233372647,3432.0,6,11.058402566537836,0,0.2963912721312742
P01,VP_FB,1,9,350,5,5,22835.6455448,4.3608428000006825,1283.1173891865562,643.7577560125122,3576.0,6,10.632177236131497,0,0.31071380972099527
P01,VP_FB,1,9,350,5,5,22835.657288,4.372585999997682,1281.8520959284835,649.9605148453926,3720.0,6,9.882246157861402,0,0.3292160811240388
P01,VP_FB,1,9,350,5,5,22835.6681511,4.383449099997961,1280.8618664221656,654.2802933182915,3776.0,6,9.394182720214928,0,0.34215788875259273
P01,VP_FB,1,9,350,5,5,22835.6693937,4.384691699997347,1279.5965731640927,658.3231629147223,3784.0,6,9.203373754411814,0,0.3545792465816538
P01,VP_FB,1,9,350,5,5,22835.679902,4.395199999999022,1279.101458410934,659.6523255217681,3784.0,6,9.203257405895727,0,0.3587412135832036
P01,VP_FB,1,9,350,5,5,22835.6913417,4.406639699998777,1277.836165152861,663.5290497923183,3752.0,6,9.002560095138278,0,0.37068929831540026
P01,VP_FB,1,9,350,5,5,22835.6923358,4.407633799997711,1276.2958081430331,667.2950105122815,3720.0,6,9.04977203384027,0,0.38262145576890205
P01,VP_FB,1,9,350,5,5,22835.7028492,4.418147199998202,1275.7456806395232,668.4580277934465,3712.0,6,9.123483139278619,0,0.3863891356529246
P01,VP_FB,1,9,350,5,5,22835.713188,4.428486000000703,1274.0952981289936,672.2793702887031,3648.0,6,9.186725448204982,0,0.398600106769308
P01,VP_FB,1,9,350,5,5,22835.7255095,4.4408074999992095,1272.3899028681128,676.0453310086663,3584.0,6,9.271686672201326,0,0.41072925165286284
P01,VP_FB,1,9,350,5,5,22835.7368303,4.452128299999458,1270.0243546030201,681.2512178862622,3464.0,6,9.313917217959272,0,0.42751212851163745
P01,VP_FB,1,9,350,5,5,22835.7492673,4.464565300000686,1268.2639465917882,685.2940874826932,3408.0,6,9.211161236502107,0,0.44044979994438305
P01,VP_FB,1,9,350,5,5,22835.7615407,4.476838700000371,1266.1184493280996,690.7768832367572,3352.0,6,8.76375699871653,0,0.45766524209201775
P01,VP_FB,1,9,350,5,5,22835.7757519,4.49104989999978,1263.9179393140598,696.5919696425825,3352.0,6,8.112359402320521,0,0.4757684994329345
P01,VP_FB,1,9,350,5,5,22835.7887914,4.504089399997611,1262.102518552477,702.7947284754628,3376.0,6,6.826493832712401,0,0.4942598756167588
P01,VP_FB,1,9,350,5,5,22835.8018333,4.517131299999164,1260.5071487922983,709.3297779601046,3424.0,6,5.06939802433476,0,0.513133624248706
P01,VP_FB,1,9,350,5,5,22835.8147338,4.53003180000087,1259.0768172831724,715.8648274447465,3576.0,6,3.0484469433771437,0,0.5315682710578968
P01,VP_FB,1,9,350,5,5,22835.8253002,4.540598199997476,1257.6464857740466,722.2337316035075,3688.0,6,0.9977601393094915,1,0.5493773910278911
P01,VP_FB,1,9,350,5,5,22835.8362349,4.551532900000893,1256.5462307670266,726.8858007281677,3688.0,6,0.5224236706391139,1,0.5623356159347281
P01,VP_FB,1,9,350,5,5,22835.8486289,4.563926899998478,1254.950861006848,732.8670324598738,3688.0,6,2.411269142402773,1,0.5791088168128184
P01,VP_FB,1,9,350,5,5,22835.8593732,4.574671200000012,1253.6305549984243,736.9099020563048,3672.0,6,3.542659882094256,0,0.590723680195364
P01,VP_FB,1,9,350,5,5,22835.8703967,4.585694699999294,1252.0901979885962,740.7312445515614,3624.0,6,4.4146107318885015,0,0.6020995574984278
P01,VP_FB,1,9,350,5,5,22835.8810632,4.596361199997773,1249.8896879745566,745.604840777396,3584.0,6,5.400311965372623,0,0.616908408323061
P01,VP_FB,1,9,350,5,5,22835.894445,4.60974300000089,1247.9092289619207,749.0385108455977,3576.0,6,5.7932308771384555,0,0.62800067466595
P01,VP_FB,1,9,350,5,5,22835.9108781,4.626176099998702,1245.1585914443713,753.690579970258,3608.0,6,6.3412497067425875,0,0.643100675516623
P01,VP_FB,1,9,350,5,5,22835.9234012,4.638699200000701,1241.2526861694507,759.0626121737347,3584.0,6,6.498950250784901,0,0.6617307220205777
P01,VP_FB,1,9,350,5,5,22835.9347645,4.650062500000786,1237.676857396636,763.4377724219271,3536.0,6,6.411104314308147,0,0.6775810082262013
P01,VP_FB,1,9,350,5,5,22835.9474153,4.662713300000178,1235.0362453797884,766.6499153889545,3536.0,6,6.3918074513377405,0,0.6892481515583692
P01,VP_FB,1,9,350,5,5,22835.9591973,4.674495299997943,1231.405403856623,770.8589303112661,3544.0,6,6.309891733359962,0,0.704845485441553
P01,VP_FB,1,9,350,5,5,22835.9705651,4.685863099999551,1227.7195495831065,775.1233270088713,3592.0,6,6.309887784077773,0,0.7206648620858004
P01,VP_FB,1,9,350,5,5,22835.9812161,4.6965141000000585,1224.7488610641528,778.169324650018,3624.0,6,6.113165495200121,0,0.7325966713287578
P01,VP_FB,1,9,350,5,5,22835.9936091,4.708907100000943,1221.7231597948482,781.2707040664582,3616.0,6,5.96427491213791,0,0.7447591086159643
P01,VP_FB,1,9,350,5,5,22836.0041898,4.719487800000934,1217.707229019226,785.0366647864212,3608.0,6,5.606500191462601,0,0.760200676754012
P01,VP_FB,1,9,350,5,5,22836.0046616,4.719959599999129,1214.4064639981664,787.8611353263935,3592.0,6,5.186980799323635,0,0.7723673443562045
P01,VP_FB,1,9,350,5,5,22836.0169327,4.732230699999491,1214.4064639981664,787.8611353263935,3592.0,6,5.186980799323635,0,0.7723673443562045
P01,VP_FB,1,9,350,5,5,22836.0285061,4.74380409999867,1210.0054439700868,791.5717142710631,3592.0,6,4.670339098100612,0,0.7885208438948916
P01,VP_FB,1,9,350,5,5,22836.042353,4.757650999999896,1205.5494111916564,795.2822932157325,3584.0,6,4.208360384184573,0,0.8048291558460235
P01,VP_FB,1,9,350,5,5,22836.0535861,4.768884099998104,1200.983352912524,798.9374903851085,3568.0,6,3.725317595306194,0,0.821296695183178
P01,VP_FB,1,9,350,5,5,22836.0655109,4.780808899999101,1197.5175496404115,801.5404338239065,3544.0,6,3.2958886146038253,0,0.8334974947528272
P01,VP_FB,1,9,350,5,5,22836.0772642,4.792562200000248,1192.8964786109282,804.974103892108,3512.0,6,2.777614769979664,0,0.8497388775846648
P01,VP_FB,1,9,350,5,5,22836.0888399,4.80413789999875,1188.1103693303917,808.3523921850161,3496.0,6,2.2035590215811567,1,0.8662788205579527
P01,VP_FB,1,9,350,5,5,22836.1004273,4.8157252999990305,1184.7545915589812,810.9553356238141,3504.0,6,2.038947177522175,1,0.8783308662757472
P01,VP_FB,1,9,350,5,5,22836.1118247,4.827122700000473,1181.3438010372197,813.5582790626122,3512.0,6,1.8909068181533826,1,0.8905139562831769
P01,VP_FB,1,9,350,5,5,22836.1230316,4.83832959999927,1176.8877682587893,817.2688580072817,3576.0,6,2.020345492899594,1,0.9069856211826983
P01,VP_FB,1,9,350,5,5,22836.1351567,4.850454699997499,1173.5870032377295,820.0379467719604,3656.0,6,2.1940652315554985,1,0.9192119883005755
P01,VP_FB,1,9,350,5,5,22836.1469753,4.862273299997469,1169.3510214607031,823.74852571663,3752.0,6,2.620300086368786,0,0.9351459478030594
